,id,name,description,neighborhood_overview,host_id,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_has_profile_pic,host_identity_verified,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable
0,18674,Huge flat for 8 people close to Sagrada Familia,"110m2 apartment to rent in Barcelona. Located in the Eixample district, near the Sagrada Familia. It has a small balcony where you can see the temple of Gaudi. Capacity for 8 people. <br /><br />Licence number: HUTB-002062<br /><br /><b>The space</b><br />Apartment with 110 m2 located in the 6th floor in a building with elevator<br /><br />Huge living/dinig-room <br />1 double bedrrom <br />1 bedroom with 2 single beds <br />1 bedroom with bunk beds <br />Kitchen fully equipped for 8 people <br />1 bathroom with bathtub <br />1 small bathroom with shower <br />balcony <br /><br />The accommodation has been recently renovated and tastefully decorated  with a comfortable furniture and wood floor. Also it is equipped with heating, air conditioning and wifi.<br /><br /><b>Guest access</b><br />Free Wifi - air conditioning.<br /><br />We will provide basic amenities like shower gel, shampoo,and hand soap. Also, 1 set of bed linen and towels per person will be included.<br /><br /><b>License","Apartment in Barcelona located in the heart of Eixample district, within only 150 m form the great Sagrada Familia and really near of Gaudí Avenue and the famous Sant Pau Hospital . <br />All kind of services in surroundings (shops, supermarkets, restaurants, bars).",71615,within an hour,100%,94%,f,t,t,Entire rental unit,Entire home/apt,8,3.0,6.0,$129.00,1,1125,33,4.31,4.41,4.63,4.78,4.69,4.81,4.28,t
1,124342,BORN CENTRICO / MUSEO PICASSO / 10 min to BEACH,"Double room at El Born  / MONTHLY RENTAL & DAYLY rental <br /><br />Born Neighbourhood transformed in last years to become one of the trendiest areas of Barcelona.<br />Just 15 blocks of the Ramblas, chic tapas, cocktail bars, candlelit restaurants and fashion boutiques.<br /><br />+ PARADISO: the 1st BEST BAR worldwide nominated by THE 50th BEST BARS)<br />+ PICASSO MUSEUM<br />+ El XAMPANYET: one of  Barcelona´s best cava bars, <br />+ 10 -15 min walking distance to the beach...<br /><br /><b>The space</b><br />The flat has 2 bedrooms placed at opposite sides of the apartment. <br />I rent only one room in my flat, that is around 8m2 / 9m2 with a window to an interior quartyard, so is  quite quiet. <br /><br />Also living room with balcony to the street <br />Equiped with double bed, a cloth hunger, and a shelve.<br /><br /><b>Guest access</b><br />Shared space:<br />Living room with smart TV, NETFLIX and balcony to the street, <br />Dinning room.<br />Comunal terrace for exclusive u",,548084,within a day,60%,43%,f,t,f,Private room in rental unit,Private room,2,1.0,1.0,$60.00,3,365,79,4.56,4.14,4.61,4.87,4.88,4.95,4.49,f
2,128463,Private Suite in residential area!!,"My House is located in the quiet district of Sants, catalan typical neighborhood. It is very close to the metro and bus, and just 10 minutes to the Centre. It is a quiet neighborhood, and cheaper than the Center. There are many restaurants and bars..<br /><br /><b>The space</b><br />Welcome to Barcelona!!!<br />Private suite whith  Double Bed and private bathroom, tv, cupboards.<br />Suitable for either a couple or individual user. <br />I provide linens and towels.<br />Convenient location: <br />7 minutes by metro from Centre of Barcelona.<br />7 minutes walking to Sants Central Train Station.<br />15 minutes walking to the Football Club Barcelona<br />10 minutes walking to Montjuic Fair and L'Hospitalet  ((MOBILE WORLD CONGRESS), congress and exhibition area)<br />3 minutes walking to all transportation (bus or metro)<br />Restaurants, bars, groceries, pharmacy, general shopping- 3 minutes<br />Bus #46 - direct to airport- 3 minutes walk. <br />Located in the District of Sants, very","You live in a typical Spanish district with not so many tourists but very close to the metro station, train station and busses. You are in few minutes in the city centre. In the neighbourhood you have many shops, cafés and restaurants. People are very nice and helpful.",635253,within an hour,100%,100%,t,t,t,Private room in rental unit,Private room,2,1.0,1.0,$60.00,3,1125,347,4.87,4.91,4.94,4.94,4.9,4.73,4.82,t
3,130227,Spacious Room with Pool and Terrace,"Just 5 minutes’ walk from the beach in the Sant Marti district, this private room in a shared apartment features a double bed, pool access, and its own private bathroom.<br /><br />The cosy room has 2 bedside tables and a large closet and the bathroom has a tub with a shower.  Shared areas include the living room, the modern kitchen, and the comfy terrace.<br /><br /><b>The space</b><br />Welcome! <br /><br />On offer is a great king bedroom with window, wardrobe and two bedside tables. Guests will benefit from a private bathroom with large bath. <br /><br />The apartment has a large terrace of 40sqm, plus the building provides a gym, two pools (to be enjoyed during the summer) and the host also offers 2 paddles, and cable internet.<br /><br />The apartment has great transportation connections: buses (PHONE NUMBER HIDDEN); metro yellow line (Selva de Mar); 20 minutes from the city center and 100m from The Marbella beach.<br />Furthermore there is a shopping center with cinemas, shops a",,641496,,,100%,f,t,t,Private room in condo,Private room,2,3.0,1.0,$80.00,31,31,130,4.72,4.84,4.92,4.88,4.78,4.73,4.64,f
4,135513,APARTMENT AT RAMBLA POBLE NOU AND BEACH,"AMAZING APARTMENT AT RAMBLA OF POBLE NOU ; ONLY 300 METRES TO THE BEACH, AND VERY WELL CONECTED TO THE CITY CENTRE. <br />BEST PLACE TO STAY IN BARCELONA!<br /><br /><b>The space</b><br />English :  <br />Beautifull apartment in a beautifull clasic building of  Poble Nou  and very close to Diagonal Mar and Vila Olimpica, building with elevator,  two confortable double rooms with two double beds, one complet bathroom, one toilet,  living room with tv, wifi, full equiped kitchen, apart from wash disher. The apartment has got washing machine, hair dryer , and iron. Flat with plenty of natural lighting, very sauvory style with a very trendy renovation.<br />300/500 metres walking from the beaches Bogatell, Marbella and Nova Marbella and  in the heart of Poble Nou (Rambla de Poble nou, tradional and savoury).  Area very cool and calm and plenty of facilities, restaurants, shops, shoppings centers (diagonal shopping center and glorias shopping center) <br />Transport recomended: H16 bus, met",,664196,within an hour,83%,18%,f,t,t,Entire rental unit,Entire home/apt,5,2.0,3.0,$90.00,90,365,131,4.64,4.74,4.68,4.69,4.8,4.83,4.56,f
5,23197,"Forum CCIB DeLuxe, Spacious, Elegant ,Christmas","Beautiful spacious apartment, large terrace, 5 minutes walk from the CCIB center, sea, Port Forum.<br />Excellent location to combine business with pleasure, ideal for families<br />Relax on the large terrace for a quiet dinner or a nice glass of wine or cold beer away from the hustle and bustle of the center of Barcelona and the tourist crowds.<br />Groups of young people under 25 are not accepted, the apartment is not suitable for you.<br /><br /><b>The space</b><br />The stylish spacious apartment is suitable for 5 people but can sleep 6, please take note of the bed sizes!<br />Spacious living/dining room with air conditioning, floor to ceiling sliding glass doors opening onto a large balcony with dining table and chairs, and wicker sofa.<br />Master bedroom with bathroom en suite. ceiling fan, bed 150 x 200.<br />Bedroom with  large single bed,  ceililng fan , bed 120 x 190<br />Bedroom, two single beds, ceiling fan. beds 90 x 200 <br />Guest bathroom: walk-in shower, sink, bidet, ","Strategically located in the Parc del Fòrum, a spacious area where all kinds of music festivals and events are held throughout the year.<br />The CCIB (Barcelona Internation Convention Center) is just down the road,<br />Go over the road and cut through the park and you will arrive at the Port Forum Marina, and the beautiful Platja del Forum beach, surrounded by beautiful parks, a lovely spacious area for walking, cycling...<br />The Forum bathing area on the other side of the beach has wheelchair access for bathing.<br />The tram (just outside the apartment) & Metro (5 minutes walk) takes you everywhere, very quickly and conveniently into the city center and other areas of Barcelona.<br />The area is great for people wanting to stay away from the busy touristy areas of Barcelona, but accessible within minutes.",90417,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,5,3.0,4.0,$195.00,4,300,65,4.75,4.92,4.89,4.94,4.98,4.58,4.62,f
6,136670,"double Room -UPC, ESADE, Barça, Real Club Tennis","The room is located very close to the universities (UBA, UPC and ESADE) also very close to the Barça Football stadium and the Real Club de Tenis. It is also well communicated by metro with the airport T1 and with the center of the city. We have beautiful views and the appartment is very big with a really nice terrace. Close by shoppingmalls L'illa Diagonal y Pedralbes Centre, el Corte Ingles. The apartment is completelly renovated and has doorman 24h. Rooms have no locks, its our way of living.<br /><br /><b>The space</b><br />Big appartment shared by 2 or 3 people Depending on the period. Nice room (13m2), neat, lots of light, wifi. You get clean sheets and towel upon arrival. Big Bathroom with bathtub and Jacuzzi. Very Communicate With The center well (metro and bus) but is an important shopping There area very close (5 min walk) Grance apartment shared by 2 or 3 people depending on the season. Nice room (13m2) with lots of light, wifi. They provide clean sheets and towels when you a",,610674,within an hour,100%,87%,t,t,t,Private room in rental unit,Private room,1,1.0,1.0,$40.00,32,1125,130,4.59,4.57,4.51,4.79,4.76,4.78,4.57,f
7,32711,Sagrada Familia area - Còrsega 1,"A lovely two bedroom apartment only 250 m from Barcelona's iconic Sagrada Familia.<br /><br /><b>The space</b><br />Originally a typical Barcelona style three bedroom family apartment but when it was refurbished a wall was removed to combine the lounge and main bedroom into one large lounge dining area.<br /><br />NOTE: If you want to see all my properties and boats please have a look at: https://www.airbnb.com/s?host_id=135703 or click on my profile and choose the link at the bottom left of the screen.<br /><br />CAUTION: The whole apartment is covered by the Roomonitor noise alerting system, which will send an alert to an alarm center if high levels of noise are detected, between 10:00 pm and 8:00 am, which would disturb the neighbours. Each call from the alarm center to the guest about high noise levels will incur a €8.47 fee. If the alarm center have to send a staff member because of high noise there will be a €83.49 fee.<br /><br />CAUTION: This is a NON-SMOKING space, consequentl",What's nearby  <br />This apartment is located in central Barcelona only 250m from the famous Sagrada Familia. <br />There are four supermarkets and all normal shops within a 100m radius as well as several secure public car parks. There are also plenty of bars and restaurants very close by.,135703,within an hour,100%,100%,f,t,t,Entire rental unit,Entire home/apt,6,2.0,3.0,$73.00,2,31,83,4.4,4.41,4.46,4.86,4.84,4.86,4.51,t
8,359841,"BacRou, design loft near the sea","BacRou is an apartment that has a minimalist style interior design. Its located BCN city, 5 minuts walking to the beah and has all you need to enjoy your stay! You can arrive to the old town, walking, by metro or bike! I want you feel like home!<br /><br /><b>The space</b><br />BacRou is a cool loft apartment of 70 m2 located just 100 meters from Mar Bella beach. The apartment stands in a second floor of an old but charming building. The apartment has a minimalist style interior design. This unique loft has a open space with living and fully equiped kitchen, 1 double room, 1 single room with a single sofa bed and 1 bathroom with shower. The apartment has all the facilities a visitor may need for comfortable holidays or even for long term stay, including air conditioning, heating, dishwasher, washing machine, dryer machine, etc. The apartment also offers free Wi-Fi access.<br />BacRou is perfectly connected to the city center. It's just 5 minutes to the metro station (L4 Poblenou) and s",,1820272,within an hour,100%,100%,t,t,t,Entire rental unit,Entire home/apt,4,2.0,2.0,$74.00,2,1125,391,4.67,4.81,4.55,4.91,4.88,4.66,4.64,t
9,138055,🌞Apt best views of Sagrada Familia/Shared terrace,"Modern 100m2 apartment with balconies and Sagrada Familia view. An incredible location + a direct view of  Antoni Gaudí´s masterpiece right from your living room - what a way to start the day over home prepared breakfast! Or meet the sunset with a glass of wine after a day full of sightseeing and entertainment. It doesn’t matter if you are a group of friends who want to meet the city or a family that would love to explore the local culture - it's the place for you, ideal to feel at home<br /><br /><b>The space</b><br />This apartment is like a jewel in the middle of Eixample area - not every local can boast of having such a view! Definitely one to consider if you want to soak up the spanish sunshine during your stay. Located on the 7th floor of a typical building in the area, with elevator. Meets: comfort, tranquility of heights of Barcelona, mixed with  cosmopolitan and central part of the city. Lots of light, spacious and with a special dedication to decoration. Totally equipped to m","Apartment is located just 240 meters from Sagrada Familia. Right on Avenida Gaudí, a cozy boulevard that leads from Sagrada Familia to Hospital de Sant Pau (which is another architectural wonder, a UNESCO World Heritage Site).<br />Eixample is one of the safest areas of Barcelona and at the same time has many restaurants, bars and nightclubs to enjoy, a large number of them are located on our street, where you can eat in one of the many restaurants or just sit on the avenue and enjoy local tapas. There are different environments found in this neighborhood of Barcelona, ​​from the most traditional and Catalan to a young and art-filled environment.",567180,within an hour,100%,93%,f,t,t,Entire rental unit,Entire home/apt,8,3.0,6.0,$309.00,2,28,109,4.46,4.5,4.51,4.61,4.66,4.9,4.49,t
